station_id,location,charges,charge_time,queue_time,epoch
5,274.0,13,290.6000000000001,746.76,8
6,342.0,8,253.59199999999998,186.328,8
7,411.0,11,374.7200000000001,733.2839999999997,8
8,479.0,16,426.11600000000004,1268.1440000000002,8
9,548.0,11,230.92000000000004,0.0,8
10,616.0,0,0.0,0.0,8
1,0.0,0,0.0,0.0,9
2,68.0,0,0.0,0.0,9
3,137.0,1,17.916,0.0,9
4,205.0,12,233.67999999999998,1261.7999999999997,9
5,274.0,13,330.21599999999995,1831.6319999999996,9
6,342.0,6,576.984,85.392,9
7,411.0,11,448.784,1036.5600000000002,9
8,479.0,19,532.384,1230.704000000001,9
9,548.0,7,159.11200000000002,0.0,9
10,616.0,0,0.0,0.0,9
1,0.0,0,0.0,0.0,10
2,68.0,0,0.0,0.0,10
3,137.0,1,17.996000000000002,0.0,10
4,205.0,11,222.46,479.4400000000001,10
5,274.0,13,298.97600000000006,767.3840000000001,10
6,342.0,6,205.66400000000002,116.424,10
7,411.0,9,353.62000000000006,622.1439999999998,10
8,479.0,11,257.56800000000004,0.0,10
9,548.0,17,563.856,1958.4559999999992,10
10,616.0,0,0.0,0.0,10
1,0.0,0,0.0,0.0,11
2,68.0,0,0.0,0.0,11
3,137.0,1,17.636000000000003,0.0,11
4,205.0,9,183.84,705.94,11
5,274.0,15,951.3360000000001,6578.976000000001,11
6,342.0,6,221.87199999999999,537.384,11
7,411.0,10,1233.78,891.4480000000001,11
8,479.0,14,413.8160000000001,776.0880000000001,11
9,548.0,17,424.65600000000006,77.78399999999999,11
10,616.0,0,0.0,0.0,11
1,0.0,0,0.0,0.0,12
2,68.0,0,0.0,0.0,12
3,137.0,1,17.916,0.0,12
4,205.0,14,282.02,1809.0600000000002,12
5,274.0,5,106.80000000000001,215.80000000000004,12
6,342.0,12,425.22400000000005,551.664,12
7,411.0,9,367.54400000000004,602.836,12
8,479.0,17,421.2560000000001,27.220000000000027,12
9,548.0,11,371.20000000000005,1951.8399999999995,12
10,616.0,0,0.0,0.0,12
1,0.0,0,0.0,0.0,13
2,68.0,0,0.0,0.0,13
3,137.0,1,17.916,0.0,13
4,205.0,10,199.66,199.61999999999995,13
5,274.0,14,319.352,2050.5920000000006,13
6,342.0,11,409.44000000000005,2111.6640000000007,13
7,411.0,7,274.348,374.20000000000005,13
8,479.0,12,301.80800000000005,1576.3320000000008,13
9,548.0,15,418.32000000000005,1854.911999999998,13
10,616.0,0,0.0,0.0,13
1,0.0,0,0.0,0.0,14
2,68.0,0,0.0,0.0,14
3,137.0,1,17.876,0.0,14
4,205.0,12,702.1200000000002,541.98,14
5,274.0,14,333.52000000000004,385.93600000000015,14
6,342.0,9,309.952,1275.872,14
7,411.0,8,301.14000000000004,138.99599999999998,14
8,479.0,15,1078.7519999999997,1230.768,14
9,548.0,13,350.16800000000006,524.4160000000002,14
10,616.0,0,0.0,0.0,14
1,0.0,0,0.0,0.0,15
2,68.0,0,0.0,0.0,15
3,137.0,0,0.0,0.0,15
4,205.0,14,274.82,1773.1800000000003,15
5,274.0,9,212.928,184.83999999999997,15
6,342.0,11,358.808,1782.752,15
